result,answer,code,id,query,img_path,possible_answers
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""box"");const n=e.find(""man"");const r=t.filter(t=>t.right>n[0].right&&t.width==t.height);return r.length==t.length?""yes"":""no""}']",20182936,Are the boxes to the right of the man full and square?,/root/Datasets/./images/n151768.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""horse"");const n=t[0];const r=n.exists(""baby"");const i=n.exists(""brown"");return bool_to_yesno(r&&i)}']",201654344,Is the horse next to the other horse both baby and brown?,/root/Datasets/./images/n6309.jpg,[]
None,narrow,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""river"");return t[0].llm_query(""What is the width of the river?"",!1)}']",20746468,Is the river wide or is it narrow?,/root/Datasets/./images/n477215.jpg,[]
None,stove,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""refrigerator"");const n=e.find(""appliance"");t.sort((a,b)=>a.computeDepth()-b.computeDepth());return n[0].simpleQuery(""What is the name of the appliance larger than the refrigerator?"")}']",201428996,What appliance is the refrigerator larger than?,/root/Datasets/./images/n64959.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""umbrella"");return bool_to_yesno(t[0].lower<e.upper)}']",20899362,Is the umbrella in the bottom part of the picture?,/root/Datasets/./images/n403734.jpg,[]
None,cookies,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""bowl"");const n=t[0].find(""beans"");return n[0].llm_query(""What is inside the bowl to the right of the beans?"",!1)}']",202244009,What is inside the bowl to the right of the beans?,/root/Datasets/./images/n296467.jpg,[]
None,clean,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""face mask"");return t[0].llm_query(""How clean is the face mask?"",!1)}']",20287556,How clean do you think is the face mask the catcher is wearing?,/root/Datasets/./images/n317260.jpg,[]
None,field,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""catcher"");return t[0].simple_query(""What is the position of the catcher?"")}']",20631973,Where is the catcher standing on?,/root/Datasets/./images/n570181.jpg,[]
None,black,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""glove"");return n[0].simple_query(""What is the color?"")}']",20287551,What is the color of the glove?,/root/Datasets/./images/n317260.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""blanket"");return bool_to_yesno(t[0].verify_property(""blanket"",""soft"")&&t[0].verify_property(""blanket"",""white""))}']",201481824,Does the blanket look soft and white?,/root/Datasets/./images/n470920.jpg,[]
None,light brown,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""drawers"");return t[0].simple_query(""What is the color?"")}']",201663656,What color are the drawers?,/root/Datasets/./images/n35676.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""refrigerator"");return bool_to_yesno(t.length>0&&t[0].left<e.left)}']",20308576,Are there refrigerators to the left of the stove?,/root/Datasets/./images/n278312.jpg,[]
None,gown,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""clothing"");for(const t of n){if(t.verify_property(""clothing"",""bright"")){return t.simple_query(""What is the type of clothing?"")}}return ""no clothing is bright""}']",201065067,Which kind of clothing is bright?,/root/Datasets/./images/n88933.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""elephant"");const n=e.find(""person"");for(const o of n){if(o.verify_property(""person"",""wearing coat"")){for(const i of t){if(i.overlaps_with(o.left,o.lower,o.right,o.upper)){return bool_to_yesno(true)}}}}return bool_to_yesno(false)}']",20462070,Is there an elephant near the person that is wearing a coat?,/root/Datasets/./images/n571179.jpg,[]
None,gloves,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""woman"");return t[0].llm_query(""What is the woman wearing?"",!1)}']",20462076,What is the woman wearing?,/root/Datasets/./images/n571179.jpg,[]
None,gloves,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""standing person"");const n=e.find(""man wearing"");const o=t.filter(t=>t.overlaps_with(n[0]));return o[0]}']",20462075,What do you think is the standing person near the man wearing?,/root/Datasets/./images/n571179.jpg,[]
None,gown,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""clothing"");const t=n[0];return t.llm_query(""What type of clothing is pink?"",!1)}']",201065062,Which type of clothing is pink?,/root/Datasets/./images/n88933.jpg,[]
None,stairs,"[' function execute_command(image){const imagePatch=new ImagePatch(image);const personPatches=imagePatch.find(""person"");const personPatch=personPatches[0];const personName=personPatch.simpleQuery(""What is the name of the person?"");return personPatch.llmQuery(`What is the person ${personName} sitting atop?`,!1)}']",20754631,What is the person that is sitting down sitting atop?,/root/Datasets/./images/n566028.jpg,[]
None,shelf,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""foo"");const n=e.find(""bar"");const r=e.find(""baz"");const i=e.find(""qux"");const s=e.find(""fred"");const o=e.find(""garply"");const u=e.find(""waldo"");const a=e.find(""fredding"");const f=e.find(""gold"");const l=e.find(""white"");const c=e.find(""black"");const h=e.find(""blue"");const p=e.find(""red"");const d=e.find(""green"");const m=e.find(""yellow"");const g=e.find(""orange"");const v=e.find(""purple"");const y=e.find(""pink"");const b=e.find(""brown"");const w=e.find(""gray"");const x=e.find(""silver"");const q=e.find(""golden"");const z=e.find(""platinum"");const j=e.find(""diamond"");const k=e.find(""emerald"");const ee=e.find(""sapphire"");const ff=e.find(""ruby"");const gg=e.find(""crystal"");const hh=e.find(""amethyst"");const ii=e.find(""pearl"");const jj=e.find(""pearlescent"");const kk=e.find(""turquoise"");const ll=e.find(""aquamarine"");const mm=e.find(""tanzanite"");const nn=e.find(""moonstone"");const oo=e.find(""opal"");const pp=e.find(""jade"");const qq=e.find(""obsidian"");const rr=e.find(""onyx"");const ss=e.find(""rubellite"");const tt=e.find(""sardonyx"");const uu=e.find(""spodumene"");const vv=e.find(""tourmaline"");const ww=e.find(""carnelian"");const xx=e.find(""chalcedony"");const yy=e.find(""chrysolite"");const zz=e']",201935960,What's standing on the floor?,/root/Datasets/./images/n500209.jpg,[]
None,tables,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""furniture"");t.sort((a,b)=>a.left-b.left);return t.filter(f=>f.left<e.left)}']",20412222,What items of furniture are to the left of the boy?,/root/Datasets/./images/n531359.jpg,[]
None,shelf,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""wall"");const n=e.find(""short"");t.sort((a,b)=>a.computeDepth()-b.computeDepth());for(const o of t){if(!n.includes(o)){return o.simpleQuery(""What is in front of this wall?"")}}}']",201935966,What is in front of the wall that is not short?,/root/Datasets/./images/n500209.jpg,[]
None,wide,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""parking lot"");const n=t[0];const r=n.llm_query(""What is the width of the parking lot?"",!1);return r}']",20878946,How wide is the parking lot made of cement?,/root/Datasets/./images/n259949.jpg,[]
None,left,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""clean mirror"");return t[0].left<e.width/2?""left"":""right""}']",201947446,On which side of the picture is the clean mirror?,/root/Datasets/./images/n473688.jpg,[]
None,phone,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""device"");return t[0].llm_query(""What is the device in front of the flat computer?"",!1)}']",201498767,What is the device in front of the flat computer?,/root/Datasets/./images/n315887.jpg,[]
None,gift,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""foo"");const n=e.find(""bar"");const r=e.find(""baz"");const i=e.find(""qux"");const s=e.find(""fred"");const o=e.find(""garply"");const u=e.find(""waldo"");const a=e.find(""corge"");const f=e.find(""grault"");const l=e.find(""xyzzy"");const c=e.find(""thud"");const h=e.find(""fredding"");const p=e.find(""gold"");const d=e.find(""white"");const m=e.find(""black"");const v=e.find(""blue"");const y=e.find(""red"");const b=e.find(""green"");const g=e.find(""yellow"");const w=e.find(""orange"");const x=e.find(""purple"");const q=e.find(""brown"");const z=e.find(""pink"");const A=e.find(""gray"");const E=e.find(""silver"");const O=e.find(""golden"");const U=e.find(""platinum"");const I=e.find(""titanium"");const S=e.find(""copper"");const R=e.find(""bronze"");const T=e.find(""steel"");const N=e.find(""iron"");const M=e.find(""aluminum"");const L=e.find(""tin"");const C=e.find(""lead"");const H=e.find(""zinc"");const P=e.find(""nickel"");const D=e.find(""chromium"");const F=e.find(""manganese"");const B=e.find(""iron oxide"");const G=e.find(""carbon"");const W=e.find(""sulfur"");const X=e.find(""phosphorus"");const Q=e.find(""potassium"");const Z=e.find(""sodium"");const J=e.find(""calcium"");const K=e.find(""magnesium"");const Y=e.find(""aluminum oxide"");const V=e.find']",20306764,What is sitting on the floor?,/root/Datasets/./images/n554880.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""blender"");const n=e.find(""yellow drink"");return bool_to_yesno(n[0].right<t[0].left)}']",202144708,Is there a blender to the right of the yellow drink?,/root/Datasets/./images/n37274.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""gift"");return bool_to_yesno(t[0].verify_property(""gift"",""sitting""))}']",20306767,Is the gift sitting on the floor?,/root/Datasets/./images/n554880.jpg,[]
None,glass,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""round glasses"");return t[0].llm_query(""What material makes up the round glasses?"",!1)}']",201996815,"Which material makes up the round glasses, glass or wire?",/root/Datasets/./images/n250715.jpg,[]
